;Genome;original_bin;phylum;class;order;family;genus;species
963;MGYG000001352;SRR1761716_bin.12;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-791;CAG-791 sp000431495
964;MGYG000000465;ERR7738558_bin.52;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;UBA4644;UBA4644 sp900763355
965;MGYG000000341;ERR7738537_bin.129;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_F;Ruminococcus_F champanellensis
966;MGYG000000525;ERR7738580_bin.5;Bacillota;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;Bulleidia sp934757945
967;MGYG000001095;ERR7745819_bin.77;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;CAG-115;CAG-115 sp900768125
968;MGYG000000191;ERR7738196_bin.49;Bacillota_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA10281;UBA10281 sp934271265
969;MGYG000001163;SRR1761677_bin.33;Bacillota_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Lentihominibacter;Lentihominibacter faecis
970;MGYG000000588;ERR7738604_bin.17;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;V9D3004;V9D3004 sp934437985
971;MGYG000000220;ERR7738253_bin.110;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;NHYM01;NHYM01 sp934668765
972;MGYG000000395;ERR7738546_bin.59;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;UBA7173;UBA7173 sp934555895
973;MGYG000001081;ERR7745819_bin.20;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;Ruminococcus sp934481385
974;MGYG000001077;ERR7745787_bin.95;Bacillota_A;Clostridia;Oscillospirales;CAG-382;UMGS882;UMGS882 sp900546385
975;MGYG000000201;ERR7738215_bin.30;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter_D;Campylobacter_D sp900772495
976;MGYG000001479;SRR17643531_bin.21;Bacillota_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Romboutsia;Romboutsia timonensis
977;MGYG000000476;ERR7738562_bin.16;Bacillota;Bacilli;RF39;UBA660;Aphodocola;Aphodocola sp900547225
978;MGYG000000943;ERR7738630_bin.50;Bacillota_A;Clostridia;Lachnospirales;Bianqueaceae;Faecimorpha;Faecimorpha sp900764045
979;MGYG000001041;ERR7745596_bin.15;Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;Zag111;Zag111 sp002102825
980;MGYG000000067;ERR11604951_bin.14;Bacteroidota;Bacteroidia;Bacteroidales;UBA932;Cryptobacteroides;
981;MGYG000000461;ERR7738558_bin.16;Bacillota_A;Clostridia;UMGS1883;HGM11501;HGM11501;HGM11501 sp900766735
982;MGYG000001294;SRR1761703_bin.25;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminiclostridium_E;Ruminiclostridium_E sp900556525
983;MGYG000001359;SRR1761717_bin.20;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239;RUG410;RUG410 sp900553115
984;MGYG000001185;SRR1761681_bin.4;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R faecipullorum
985;MGYG000000364;ERR7738537_bin.95;Bacillota_A;Clostridia;Oscillospirales;CAG-272;UMGS1312;UMGS1312 sp934446065
986;MGYG000001103;ERR7745831_bin.51;Bacillota_C;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;Mitsuokella multacida
987;MGYG000000553;ERR7738594_bin.61;Bacillota_A;Clostridia;Christensenellales;CAG-74;Ventricola;Ventricola sp934630975
988;MGYG000000287;ERR7738353_bin.63;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger;Gemmiger variabilis_A
989;MGYG000001491;SRR17643790_bin.16;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;HGM13006;HGM13006 sp900756575
990;MGYG000000751;ERR7738616_bin.75;Pseudomonadota;Gammaproteobacteria;Enterobacterales_A;Succinivibrionaceae;Succinivibrio;Succinivibrio sp900555115
991;MGYG000000673;ERR7738611_bin.17;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;RUG11142;RUG11142 sp902766215
992;MGYG000000777;ERR7738620_bin.71;Bacillota;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Merdibacter;Merdibacter sp900759455
993;MGYG000000188;ERR7738196_bin.37;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;HGM12814;HGM12814 sp900770165
994;MGYG000000561;ERR7738597_bin.27;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS1071;UMGS1071 sp900542375
995;MGYG000000385;ERR7738546_bin.24;Bacillota_C;Negativicutes;Acidaminococcales;Acidaminococcaceae;CAG-266;CAG-266 sp000436095
996;MGYG000000771;ERR7738620_bin.51;Bacillota_A;Clostridia;TANB77;CAG-508;CAG-269;CAG-269 sp905213875
997;MGYG000001122;ERR7746398_bin.25;Bacillota_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA10281;UBA10281 sp900554485
998;MGYG000001233;SRR1761692_bin.12;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA1394;UBA1394 sp900066845
999;MGYG000000304;ERR7738514_bin.57;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239;51-20;51-20 sp001917175
1000;MGYG000001063;ERR7745787_bin.48;Pseudomonadota;Alphaproteobacteria;RF32;CAG-239;CAAFZY01;CAAFZY01 sp900767645
1001;MGYG000001140;ERR7746440_bin.22;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_F;Eubacterium_F sp934316845
1002;MGYG000001381;SRR1761721_bin.5;Bacillota_A;Clostridia;TANB77;CAG-508;UMGS1864;UMGS1864 sp900555835
1003;MGYG000000010;ERR11604932_bin.17;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_C;Ruminococcus_C sp000433635
1004;MGYG000000499;ERR7738578_bin.5;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Merdisoma;Merdisoma sp900553635
1005;MGYG000000126;ERR7738166_bin.121;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides massiliensis
1006;MGYG000001005;ERR7738938_bin.36;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae_A;Sutterella;Sutterella sp900770335
1007;MGYG000001097;ERR7745819_bin.83;Actinomycetota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Ellagibacter;Ellagibacter sp934643285
1008;MGYG000001012;ERR7738938_bin.61;Bacillota_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA10281;UBA10281 sp900767885
1009;MGYG000000506;ERR7738578_bin.68;Bacillota_A;Clostridia;Oscillospirales;CAG-272;Flemingibacterium;Flemingibacterium sp900546315
1010;MGYG000001124;ERR7746398_bin.35;Bacillota;Bacilli;RFN20;CAG-826;Onthovivens;Onthovivens sp900545015
1011;MGYG000000014;ERR11604933_bin.11;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;CAG-873;
1012;MGYG000000737;ERR7738616_bin.27;Bacillota_A;Clostridia;Christensenellales;Borkfalkiaceae;UBA10281;UBA10281 sp934254815
1013;MGYG000000352;ERR7738537_bin.58;Bacillota_A;Clostridia;UBA1381;UBA1381;UBA4716;UBA4716 sp934476675
1014;MGYG000001156;SRR1761676_bin.15;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Ventrimonas;Ventrimonas sp900538475
1015;MGYG000000731;ERR7738612_bin.86;Bacillota;Bacilli;RF39;UBA660;CAG-533;CAG-533 sp934098375
1016;MGYG000001532;SRR17643919_bin.32;Bacillota_C;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;
1017;MGYG000000917;ERR7738630_bin.162;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;HGM13006;HGM13006 sp934512135
1018;MGYG000000610;ERR7738604_bin.97;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-170;CAG-170 sp934646005
1019;MGYG000000167;ERR7738185_bin.19;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_C;Ruminococcus_C sp000437255
1020;MGYG000001047;ERR7745596_bin.29;Bacillota_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum butyriciproducens
1021;MGYG000001274;SRR1761701_bin.10;Bacillota_C;Negativicutes;Veillonellales;Megasphaeraceae;Megasphaera;Megasphaera sp900540735
1022;MGYG000001248;SRR1761696_bin.20;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Scatomorpha;Scatomorpha intestinigallinarum
1023;MGYG000000556;ERR7738597_bin.10;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium_G;Eubacterium_G sp000434315
1024;MGYG000000637;ERR7738608_bin.50;Bacillota_A;Clostridia;Oscillospirales;CAG-272;UMGS1696;UMGS1696 sp900763885
