"","cluster","phylum","class","order","family","genus","species"
"100","937_1","Actinomycetota","Actinomycetia","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum"
"101","938_1","Actinomycetota","Actinomycetia","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum"
"102","945_1","Bacillota_A","Clostridia","Christensenellales","CAG-138","SFEL01","SFEL01 sp004557245"
"103","952_1","Bacillota_A","Clostridia","Christensenellales","CAG-138","Phil1","Phil1 sp001940855"
"104","996_3","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-488","CAG-488 sp000434055"
"105","1002_1","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-177","CAG-177 sp003538135"
"106","1002_2","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-177","CAG-177 sp003514385"
"107","1013_12","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-177","CAG-177 sp000431775"
"108","1023_1","Bacillota_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium_A","Phascolarctobacterium_A sp900551335"
"109","1035_12","Bacillota_A","Clostridia","Christensenellales","CAG-74","UBA11524","UBA11524 sp000437595"
"110","1037_1","Bacillota_C","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium faecium"
"111","1040_1","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio sp900556755"
"112","1074_12","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger qucibialis"
"113","1076_1","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger sp900539695"
"114","1080_12","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger formicilis"
"115","1085_1","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium longum"
"116","1091_1","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium duncaniae"
"117","1095_1","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii_D"
"118","1096_1","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii"
"119","1101_1","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Angelakisella","Angelakisella sp900547385"
"120","1112_2","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-103","CAG-103 sp000432375"
"121","1112_46","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-103","CAG-103 sp900543625"
"122","1116_1","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA738","UBA738 sp003522945"
"123","1159_1","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","CAG-170 sp002404795"
"124","1187_1","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","ER4","ER4 sp900317525"
"125","1190_2","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","ER4","ER4 sp000765235"
"126","1204_1","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Vescimonas","Vescimonas sp000435555"
"127","1206_3","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Vescimonas","Vescimonas sp001916855"
"128","1209_1","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Dysosmobacter","Dysosmobacter sp001916835"
"129","1218_13","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","UBA1417","UBA1417 sp003531055"
"130","1222_1","Bacillota_A","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum","Agathobaculum sp003481705"
"131","1224_13","Bacillota_A","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum","Agathobaculum butyriciproducens"
"132","1236_1","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D peruense"
"133","1238_2","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D succinifaciens"
"134","1239_1","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema_D","Treponema_D sp900541945"
"135","1244_23","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","UBA1436","UBA1436 sp900541355"
